,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.7928,0.8607125878334045,6.25e-06,0.04692632566870014,100,,,,,,,,,
1,2.5825,0.7723921537399292,1.25e-05,0.09385265133740028,200,,,,,,,,,
2,2.1854,0.7080832719802856,1.8750000000000002e-05,0.14077897700610043,300,,,,,,,,,
3,1.631,0.7911727428436279,2.5e-05,0.18770530267480057,400,,,,,,,,,
4,1.0835,0.6410123109817505,3.125e-05,0.2346316283435007,500,,,,,,,,,
5,0.9232,0.4854874908924103,3.7500000000000003e-05,0.28155795401220085,600,,,,,,,,,
6,0.8748,0.49876314401626587,3.998926567734028e-05,0.328484279680901,700,,,,,,,,,
7,0.8568,0.5755126476287842,3.9923708762038294e-05,0.37541060534960113,800,,,,,,,,,
8,0.8308,0.5734162926673889,3.979875365056071e-05,0.4223369310183013,900,,,,,,,,,
9,0.8135,0.5220896601676941,3.961477286934392e-05,0.4692632566870014,1000,,,,,,,,,
10,0.8177,0.501813530921936,3.937231491699658e-05,0.5161895823557016,1100,,,,,,,,,
11,0.803,0.5332798957824707,3.907210262907055e-05,0.5631159080244017,1200,,,,,,,,,
12,0.7937,0.5066302418708801,3.871503102308416e-05,0.6100422336931018,1300,,,,,,,,,
13,0.7755,0.4999063313007355,3.8302164630222574e-05,0.656968559361802,1400,,,,,,,,,
14,0.7806,0.49389535188674927,3.783473432166999e-05,0.7038948850305021,1500,,,,,,,,,
15,0.7739,0.5421571731567383,3.731413363903542e-05,0.7508212106992023,1600,,,,,,,,,
16,0.7664,0.5097271203994751,3.6741914639812056e-05,0.7977475363679024,1700,,,,,,,,,
17,0.7555,0.6355622410774231,3.6119783270256046e-05,0.8446738620366026,1800,,,,,,,,,
18,0.7532,0.5468196868896484,3.5449594279479494e-05,0.8916001877053027,1900,,,,,,,,,
19,0.7448,0.5529416799545288,3.473334568992009e-05,0.9385265133740028,2000,,,,,,,,,
20,0.7603,0.49154362082481384,3.397317284067264e-05,0.985452839042703,2100,,,,,,,,,
21,,,,1.0,2131,0.7547507882118225,465.3593,6.868,1.145,,,,,
22,0.7477,0.5043245553970337,3.317134202144086e-05,1.0323791647114031,2200,,,,,,,,,
23,0.747,0.5565894842147827,3.233024371608842e-05,1.0793054903801031,2300,,,,,,,,,
24,0.745,0.5138856768608093,3.1452385475932244e-05,1.1262318160488034,2400,,,,,,,,,
25,0.7446,0.6750404238700867,3.0540384444024665e-05,1.1731581417175034,2500,,,,,,,,,
26,0.7448,0.5585012435913086,2.9596959552711698e-05,1.2200844673862037,2600,,,,,,,,,
27,0.737,0.5386931896209717,2.86249234177287e-05,1.267010793054904,2700,,,,,,,,,
28,0.7477,0.5488512516021729,2.7627173952999508e-05,1.313937118723604,2800,,,,,,,,,
29,0.7434,0.6321130394935608,2.6606685731137464e-05,1.360863444392304,2900,,,,,,,,,
30,0.7299,0.6451825499534607,2.5566501115405396e-05,1.4077897700610043,3000,,,,,,,,,
31,0.7581,0.5616350173950195,2.4509721189572514e-05,1.4547160957297043,3100,,,,,,,,,
32,0.7256,0.7967292666435242,2.3439496512708847e-05,1.5016424213984045,3200,,,,,,,,,
33,0.7109,0.6143364906311035,2.235901772647994e-05,1.5485687470671046,3300,,,,,,,,,
34,0.7195,0.6721084713935852,2.1271506042943972e-05,1.5954950727358048,3400,,,,,,,,,
35,0.7263,0.6305487751960754,2.018020364120994e-05,1.642421398404505,3500,,,,,,,,,
36,0.7161,0.6574829816818237,1.908836400158712e-05,1.689347724073205,3600,,,,,,,,,
37,0.7161,0.7455077171325684,1.799924220604249e-05,1.7362740497419051,3700,,,,,,,,,
38,0.736,0.6033449172973633,1.691608523388313e-05,1.7832003754106054,3800,,,,,,,,,
39,0.7202,0.6253648996353149,1.5842122281595e-05,1.8301267010793056,3900,,,,,,,,,
40,0.7203,0.6207458972930908,1.4780555135697228e-05,1.8770530267480057,4000,,,,,,,,,
41,0.7167,0.7453877329826355,1.3734548627313289e-05,1.9239793524167057,4100,,,,,,,,,
42,0.7294,0.7211987376213074,1.2707221196916715e-05,1.970905678085406,4200,,,,,,,,,
43,,,,2.0,4262,0.7231854796409607,465.3046,6.869,1.145,,,,,
44,0.7279,0.5998033881187439,1.1701635597380268e-05,2.017832003754106,4300,,,,,,,,,
45,0.7236,0.7104317545890808,1.0720789763045696e-05,2.0647583294228062,4400,,,,,,,,,
46,0.721,0.710159420967102,9.767607872035729e-06,2.1116846550915063,4500,,,,,,,,,
47,0.7345,0.6547607779502869,8.844931628454247e-06,2.1586109807602063,4600,,,,,,,,,
48,0.726,0.6415155529975891,7.955511790464662e-06,2.2055373064289068,4700,,,,,,,,,
49,0.7167,0.6398558616638184,7.101999969503892e-06,2.252463632097607,4800,,,,,,,,,
50,0.7044,0.7165195941925049,6.286940725080688e-06,2.299389957766307,4900,,,,,,,,,
51,0.7092,0.761841356754303,5.512763978725866e-06,2.346316283435007,5000,,,,,,,,,
52,0.7236,0.6756297945976257,4.7817777697108155e-06,2.3932426091037073,5100,,,,,,,,,
53,0.7109,0.7460454702377319,4.096161374131349e-06,2.4401689347724074,5200,,,,,,,,,
54,0.728,0.6616414189338684,3.4579588078708603e-06,2.4870952604411074,5300,,,,,,,,,
55,0.7185,0.6569296717643738,2.8690727328123948e-06,2.534021586109808,5400,,,,,,,,,
56,0.7282,0.6541745662689209,2.331258784466852e-06,2.580947911778508,5500,,,,,,,,,
