,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
57,0.7027,0.681759774684906,1.8461203379282634e-06,2.627874237447208,5600,,,,,,,,,
58,0.6918,0.7953096032142639,1.4151037277603362e-06,2.674800563115908,5700,,,,,,,,,
59,0.7135,0.6971834897994995,1.0394939360651235e-06,2.721726888784608,5800,,,,,,,,,
60,0.7013,0.6741601824760437,7.2041076158889e-07,2.768653214453308,5900,,,,,,,,,
61,0.7031,0.7094528675079346,4.5880548128614645e-07,2.8155795401220085,6000,,,,,,,,,
62,0.7151,0.737419843673706,2.554580142947205e-07,2.8625058657907085,6100,,,,,,,,,
63,0.7077,0.611645519733429,1.1097459677679167e-07,2.9094321914594086,6200,,,,,,,,,
64,0.722,0.6893584132194519,2.578597455785925e-08,2.956358517128109,6300,,,,,,,,,
65,,,,3.0,6393,0.7187211513519287,464.9497,6.874,1.146,,,,,
66,,,,3.0,6393,,,,,12194.6296,3.144,0.524,1.8196197469323264e+17,0.8476288078089713
